series,train_size,mean_test_pearson,median_test_pearson,best_alpha,n_retained_parcels,n_test_trs,source,source_note
Friends,5,0.16520964461686435,0.1449120681104255,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_5train_10test_snapshot/group_summary.json,round8 prefix/5train expanded 10-test rerun snapshot
Friends,15,0.1851559817707863,0.17019807847334067,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_15train_10test_snapshot/group_summary.json,round8 prefix/15train expanded 10-test rerun snapshot
Friends,25,0.19489876748697402,0.18765866932857608,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_25train_10test_snapshot/group_summary.json,round8 prefix/25train expanded 10-test rerun snapshot
Friends,35,0.20067237600203958,0.19126337220339718,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_35train_10test_snapshot/group_summary.json,round8 prefix/35train expanded 10-test rerun snapshot
Friends,45,0.20583500814042568,0.19467882987702528,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_45train_10test_snapshot/group_summary.json,round8 prefix/45train expanded 10-test rerun snapshot
Friends,55,0.21049133056155095,0.196509923464001,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_55train_10test_snapshot/group_summary.json,round8 prefix/55train expanded 10-test rerun snapshot
Friends,65,0.21345091949289968,0.20291165821579288,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_65train_10test_snapshot/group_summary.json,round8 prefix/65train expanded 10-test rerun snapshot
Friends,75,0.2153373844274489,0.20670698061085824,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_75train_10test_snapshot/group_summary.json,round8 prefix/75train expanded 10-test rerun snapshot
Friends,85,0.21759544015341303,0.20619660886446706,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_85train_10test_snapshot/group_summary.json,round8 prefix/85train expanded 10-test rerun snapshot
Friends,95,0.22063837555178412,0.20676334810089306,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_95train_10test_snapshot/group_summary.json,round8 prefix/95train expanded 10-test rerun snapshot
Friends,105,0.22107467413716247,0.20997491439814048,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_105train_10test_snapshot/group_summary.json,round8 prefix/105train expanded 10-test rerun snapshot
Friends,115,0.22223919585476926,0.2118128860771404,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_115train_10test_snapshot/group_summary.json,round8 prefix/115train expanded 10-test rerun snapshot
Friends,125,0.2234199280142032,0.21548405535315668,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_125train_10test_snapshot/group_summary.json,round8 prefix/125train expanded 10-test rerun snapshot
Friends,135,0.22508806444457624,0.2149456894866953,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_135train_10test_snapshot/group_summary.json,round8 prefix/135train expanded 10-test rerun snapshot
Friends,145,0.22569421197201892,0.2169218306504591,10000.0,86,4467,friends/analysis/train_size_sweep_20260630_every10_10test_rerun/encoding_145train_10test_snapshot/group_summary.json,round8 prefix/145train expanded 10-test rerun snapshot
Tribe,20,0.11892333128719788,0.11277022962766899,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,40,0.14671588984278108,0.14406445157967968,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,60,0.1466308955267963,0.1389069121650816,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,80,0.17008492851621598,0.16716429895980472,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,100,0.1853141211105515,0.19213539126743487,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,120,0.19498307336175671,0.1992766481073197,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,140,0.20021370985251263,0.20554147078835755,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,160,0.20348848965231012,0.2158030770604321,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,180,0.20780480885423921,0.21600250839379087,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,200,0.21087103669197238,0.21759142978717455,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
Tribe,220,0.21213773328816823,0.21739481924737764,10000.0,86,1852,friends/tribe/tribe_train_size_test_performance.csv,tribe train-size CSV row
