roi,round3_65,75_round4_add10,75_round5_add10,round5_85,delta_75_round4_vs65,delta_75_round5_vs65
ACC,0.2042472694772722,0.2016859853333967,0.20471594244803057,0.20229691357618468,-0.002561284143875492,0.0004686729707583659
AG,0.2584513416122978,0.26410831449957467,0.2647979795743301,0.26867528578157657,0.0056569728872768454,0.0063466379620322755
DLPFC,0.214541130647097,0.2192421426991656,0.2174925865494913,0.2209928236231089,0.004701012052068576,0.00295145590239429
FFA,0.2452924010858114,0.2447622771477454,0.2461400879198425,0.24497631079373156,-0.0005301239380660072,0.0008476868340310806
IPL,0.2674430262320212,0.27213381302850975,0.2752009802325137,0.27858935008819524,0.004690786796488544,0.007757954000492506
Insula,0.20210879298127007,0.1989628168012978,0.20149087659767795,0.19862221858485915,-0.003145976179972282,-0.0006179163835921264
OFC,0.19433284427366546,0.19703230568004879,0.1942150866636162,0.1965315420661156,0.00269946140638333,-0.00011775761004925722
PCC,0.23452097634607894,0.23413845575205128,0.23483595009241323,0.23397412960227307,-0.0003825205940276577,0.0003149737463342961
Precuneus,0.15886009256096179,0.16505196461642918,0.16333445392545087,0.16821244880002323,0.006191872055467396,0.004474361364489088
SMG,0.2764347108517446,0.2801593115574449,0.2856039808906973,0.288503414394814,0.0037246007057002983,0.009169270038952682
TPJ,0.24982137188186604,0.2524587383519827,0.2569064109306452,0.2583246214431956,0.002637366470116642,0.007085039048779163
Temporal_Pole,0.20709603395808823,0.20541883295320787,0.211082604458083,0.2093401477855431,-0.0016772010048803632,0.003986570499994763
VMPFC,0.16378024015229603,0.16535793273119867,0.163865128390046,0.16523225824175242,0.0015776925789026397,8.488823774996379e-05
pSTS,0.18183727146387793,0.18337242310730945,0.1912238055668961,0.19086760321134089,0.0015351516434315149,0.00938653410301818
