target_roi,lag,top_feature_count,mean_abs_coef_mass,fraction_of_top_abs_mass,top_n_features
SMG,2,4,0.067326125574,0.185666,20
SMG,3,3,0.068994985716,0.190268,20
SMG,4,3,0.070862742421,0.195419,20
SMG,5,3,0.057225286614,0.157811,20
SMG,6,7,0.098210399346,0.270836,20
IPL,2,4,0.056183937387,0.181388,20
IPL,3,3,0.056215275978,0.181489,20
IPL,4,4,0.069913918875,0.225714,20
IPL,5,3,0.048171026531,0.155518,20
IPL,6,6,0.079261127403,0.255891,20
AG,2,5,0.057277880707,0.215560,20
AG,3,3,0.043435566240,0.163466,20
AG,4,4,0.057567030805,0.216648,20
AG,5,1,0.019077655289,0.071797,20
AG,6,7,0.088358210006,0.332528,20
TPJ,2,4,0.049096987328,0.184722,20
TPJ,3,4,0.057017837222,0.214524,20
TPJ,4,4,0.059514474353,0.223917,20
TPJ,5,2,0.029643967385,0.111532,20
TPJ,6,6,0.070514711517,0.265304,20
FFA,2,3,0.043486265182,0.153902,20
FFA,3,2,0.025557962543,0.090452,20
FFA,4,2,0.026231345711,0.092835,20
FFA,5,2,0.025164685770,0.089060,20
FFA,6,11,0.162118088113,0.573751,20
PCC,2,2,0.022639303872,0.084440,20
PCC,4,2,0.026873708802,0.100233,20
PCC,5,4,0.054014893942,0.201465,20
PCC,6,12,0.164583230329,0.613862,20
DLPFC,2,3,0.034091499997,0.137799,20
DLPFC,3,2,0.024844684247,0.100423,20
DLPFC,4,1,0.020392494407,0.082427,20
DLPFC,5,3,0.039764711895,0.160731,20
DLPFC,6,11,0.128306476881,0.518620,20
Temporal_Pole,2,2,0.022001853339,0.086048,20
Temporal_Pole,4,3,0.034149694760,0.133558,20
Temporal_Pole,5,3,0.040354957287,0.157827,20
Temporal_Pole,6,12,0.159185236269,0.622567,20
