rank,roi_id,mean_test_pearson,median_test_pearson,n_retained_parcels,n_total_selected_parcels
1,SMG,0.295532452934,0.298151670474,6,6
2,IPL,0.282625308917,0.238958775229,12,12
3,AG,0.269718164900,0.238958775229,6,6
4,TPJ,0.268421381911,0.228696566819,20,20
5,FFA,0.251968110552,0.276231086332,4,4
6,PCC,0.238673326316,0.231357664831,6,6
7,DLPFC,0.231978282924,0.207927006125,10,10
8,Temporal_Pole,0.214468112676,0.215119405553,4,4
9,Insula,0.214130660704,0.215900544616,12,12
10,OFC,0.212062764495,0.222388663105,12,12
11,pSTS,0.210060097442,0.209332122133,4,4
12,VMPFC,0.202154131638,0.163095440584,8,8
13,ACC,0.194954221556,0.186246078561,8,8
14,Precuneus,0.177945144414,0.141877426627,8,8
