target_roi,source_schema_roi,top_feature_count,mean_abs_coef_mass,fraction_of_top_abs_mass,self_schema,top_n_features
SMG,pSTS,10,0.176279328740,0.486127,false,20
SMG,SMG,5,0.120557392794,0.332462,true,20
SMG,VMPFC,3,0.038325551214,0.105691,false,20
SMG,IPL,1,0.014686904099,0.040502,false,20
SMG,AG,1,0.012770362824,0.035217,false,20
IPL,pSTS,10,0.143972370268,0.464809,false,20
IPL,SMG,5,0.102644475965,0.331383,false,20
IPL,VMPFC,3,0.036241832937,0.117005,false,20
IPL,IPL,1,0.014118094844,0.045580,true,20
IPL,AG,1,0.012768512161,0.041223,false,20
AG,SMG,6,0.095778077159,0.360452,false,20
AG,pSTS,5,0.063374802492,0.238505,false,20
AG,IPL,3,0.036127485529,0.135963,false,20
AG,VMPFC,3,0.035859575487,0.134954,false,20
AG,AG,1,0.012766661498,0.048046,true,20
AG,FFA,1,0.010943812238,0.041186,false,20
AG,ACC,1,0.010865928644,0.040893,false,20
TPJ,SMG,6,0.099052494430,0.372675,false,20
TPJ,pSTS,8,0.098709782331,0.371385,false,20
TPJ,VMPFC,4,0.045261446312,0.170292,false,20
TPJ,IPL,1,0.012399675169,0.046653,false,20
TPJ,AG,1,0.010364579562,0.038996,false,20
FFA,SMG,9,0.118398502473,0.419023,false,20
FFA,DLPFC,3,0.045732413342,0.161851,false,20
FFA,FFA,3,0.043630047475,0.154411,true,20
FFA,AG,2,0.031135862962,0.110193,false,20
FFA,OFC,1,0.016215607668,0.057389,false,20
FFA,IPL,1,0.015205108123,0.053812,false,20
FFA,VMPFC,1,0.012240805275,0.043321,false,20
PCC,SMG,6,0.085556467171,0.319108,false,20
PCC,VMPFC,3,0.048009188266,0.179065,false,20
PCC,ACC,3,0.037884324098,0.141301,false,20
PCC,AG,3,0.034994870113,0.130524,false,20
PCC,pSTS,1,0.015218609156,0.056762,false,20
PCC,OFC,1,0.012148783579,0.045312,false,20
PCC,FFA,1,0.011537425147,0.043032,false,20
PCC,Precuneus,1,0.011435294596,0.042651,false,20
PCC,TPJ,1,0.011326174819,0.042244,false,20
DLPFC,SMG,6,0.074503951181,0.301148,false,20
DLPFC,VMPFC,4,0.065903656970,0.266385,false,20
DLPFC,AG,3,0.032732208938,0.132305,false,20
DLPFC,PCC,2,0.020721159021,0.083756,false,20
DLPFC,IPL,2,0.020013129729,0.080894,false,20
DLPFC,pSTS,1,0.012390462609,0.050083,false,20
DLPFC,FFA,1,0.011439409480,0.046239,false,20
DLPFC,Temporal_Pole,1,0.009695889502,0.039191,false,20
Temporal_Pole,VMPFC,3,0.047584920740,0.186103,false,20
Temporal_Pole,AG,3,0.041004063643,0.160365,false,20
Temporal_Pole,SMG,3,0.036681504632,0.143460,false,20
Temporal_Pole,Temporal_Pole,3,0.033608484274,0.131441,true,20
Temporal_Pole,IPL,2,0.022724125171,0.088873,false,20
Temporal_Pole,pSTS,1,0.016355196512,0.063965,false,20
Temporal_Pole,ACC,1,0.012463621215,0.048745,false,20
Temporal_Pole,OFC,1,0.011591453808,0.045334,false,20
Temporal_Pole,TPJ,1,0.011556119337,0.045196,false,20
Temporal_Pole,FFA,1,0.011173665111,0.043700,false,20
Temporal_Pole,Insula,1,0.010948587211,0.042819,false,20
